Sponsor,# of Projects,Total Project Cost in 2026 $'s
Auburn,4,36234200
Bainbridge Island,2,315099472
Bellevue,7,567409200
Bonney Lake,1,39279416.55
Bothell,3,190998230
Bremerton,4,111373722.73900001
Community Transit,3,351899425
Covington,3,52518128.03
Des Moines,3,34968000
Edgewood,2,164691700
Everett,3,92573346.4
Federal Way,4,647800000
Fife,4,311803507.5
Issaquah,2,187191608.089
Kent,3,201747377.789
King County Dept. Of Transportation (Roads),22,1789862982.38
King County/Metro,27,2037269215.212
Kirkland,2,72096080
Kitsap County,1,99425000
Kitsap Transit,6,272534909.65
Lynnwood,3,290907435.711
Maple Valley,3,70816210
Marysville,4,85878253.079
North Bend,1,3
Pierce County,7,607171757
Pierce Transit,2,47662500
Port Of Seattle,3,2185549050
Port Orchard,2,53210727.363
Redmond,3,86331224.601
Renton,9,505032891.25
Seattle,70,3259496607
Shoreline,9,302860702.605
Snohomish County,9,659456820.9729999
Sound Transit,19,46722341257.946
Sumner,1,40825773.575
Tacoma,25,1796892547.5
Tukwila,3,18273700
Tulalip Tribes,1,74567723
Woodinville,2,25880200
Wsdot,49,13900907253.333
Wsdot Northwest Region,1,882577250
