Project Type,County,# of Projects,Project Cost,Average Project Grade,under 25%,25% to 50%,50% to 75%,over 75%,Freight,Employment,Emissions,Puget Sound Land & Water,Transportation Alternatives,Travel Reliability,Support for Centers,Safety,Community Benefits
Bridge,Kitsap,2,305607240,70.55555555555556,0,0,2,0,0.047244094488188976,0.10236220472440945,0.08661417322834646,0.14960629921259844,0.13385826771653545,0.11023622047244094,0.10236220472440945,0.14173228346456693,0.12598425196850394
Interchange,Kitsap,3,271457430.839,55.18518518518518,0,0,3,0,0.06711409395973154,0.12080536912751678,0.1476510067114094,0.1476510067114094,0.12080536912751678,0.20134228187919462,0.03355704697986577,0.12080536912751678,0.040268456375838924
"M,P & O",Kitsap,8,546625068.156,49.861111111111114,0,4,4,0,0.036211699164345405,0.10863509749303621,0.12256267409470752,0.16434540389972144,0.15598885793871867,0.1615598885793872,0.06685236768802229,0.10584958217270195,0.07799442896935933
Non-Motorized,Kitsap,7,545757717.107,51.74603174603174,0,5,2,0,0.046012269938650305,0.08895705521472393,0.1196319018404908,0.10429447852760736,0.18711656441717792,0.0736196319018405,0.13496932515337423,0.12883435582822086,0.1165644171779141
Roadway,Kitsap,16,1174683822.285,51.041666666666664,1,7,7,1,0.04217687074829932,0.10884353741496598,0.11020408163265306,0.13741496598639455,0.1469387755102041,0.1414965986394558,0.08163265306122448,0.12244897959183673,0.10884353741496598
Transit,Kitsap,9,771403358.269,60.12345679012346,0,2,6,1,0.024640657084188913,0.0944558521560575,0.10677618069815195,0.13141683778234087,0.14784394250513347,0.16837782340862423,0.0944558521560575,0.11909650924024641,0.11293634496919917
All,Pierce,62,7951985433.856,61.55913978494624,2,8,38,14,0.07918486171761281,0.10887918486171762,0.09781659388646288,0.13653566229985445,0.12634643377001456,0.09548762736535663,0.09315866084425037,0.11761280931586608,0.14497816593886462
Bridge,Pierce,9,1228704156.075,59.876543209876544,1,2,4,2,0.12783505154639174,0.09896907216494845,0.09690721649484536,0.09278350515463918,0.12164948453608247,0.13195876288659794,0.07422680412371134,0.12371134020618557,0.13195876288659794
Interchange,Pierce,17,3312225938.104,63.267973856209146,1,2,9,5,0.11776859504132231,0.11363636363636363,0.09504132231404959,0.11466942148760331,0.08264462809917356,0.15289256198347106,0.08161157024793389,0.11363636363636363,0.128099173553719
"M,P & O",Pierce,34,2414676492.642,64.73856209150327,0,1,27,6,0.07117617364967188,0.10348308934881373,0.09490156486622918,0.13780918727915195,0.1453811206461383,0.06764260474507824,0.09490156486622918,0.12821807168096921,0.15648662291771834
Non-Motorized,Pierce,45,5230887529.463,63.358024691358025,1,5,28,11,0.07482462977396727,0.10405300077942323,0.09976617303195635,0.13639906469212781,0.1449727201870616,0.06780982073265783,0.09937646141855028,0.12236944660950896,0.1504286827747467
Roadway,Pierce,50,5464576994.103,62.17777777777778,2,3,35,10,0.08327376697641173,0.10614724803431022,0.09328091493924232,0.13652609006433167,0.1222301644031451,0.09792709077912795,0.08684774839170836,0.1272337383845604,0.14653323802716225
Transit,Pierce,28,3349188902.94,67.6190476190476,0,1,19,8,0.051643192488262914,0.11208920187793427,0.10035211267605634,0.1443661971830986,0.1602112676056338,0.0528169014084507,0.11678403755868545,0.11032863849765258,0.15140845070422534
All,Snohomish,36,10308645827.074,54.382716049382715,0,15,17,4,0.0811577752553916,0.10102156640181612,0.09988649262202043,0.123155505107832,0.13847900113507378,0.15777525539160045,0.1021566401816118,0.10329171396140749,0.09307604994324631
Bridge,Snohomish,8,1831199649.46,63.74999999999999,0,1,7,0,0.08496732026143791,0.1111111111111111,0.0915032679738562,0.09586056644880174,0.14596949891067537,0.16122004357298475,0.09803921568627451,0.13071895424836602,0.08061002178649238
Interchange,Snohomish,9,1788422213,59.50617283950618,0,2,7,0,0.11410788381742738,0.11203319502074689,0.08506224066390042,0.11618257261410789,0.11618257261410789,0.17012448132780084,0.1037344398340249,0.11203319502074689,0.07053941908713693
"M,P & O",Snohomish,16,1928021811.5509999,51.45833333333333,0,9,6,1,0.08097165991902834,0.07827260458839407,0.0796221322537112,0.11740890688259109,0.16869095816464239,0.14304993252361672,0.11336032388663968,0.11875843454790823,0.09986504723346828
Non-Motorized,Snohomish,23,8540247511.8,53.81642512077295,0,10,10,3,0.06912028725314183,0.08976660682226212,0.11041292639138241,0.12657091561938957,0.16606822262118492,0.14721723518850988,0.08168761220825853,0.10951526032315978,0.09964093357271095
Roadway,Snohomish,19,2417085583.709,57.07602339181287,0,6,11,2,0.08913934426229508,0.10040983606557377,0.0860655737704918,0.11475409836065574,0.1444672131147541,0.16188524590163936,0.09221311475409837,0.13729508196721313,0.07377049180327869
Transit,Snohomish,13,8318906162.681001,58.63247863247862,0,4,7,2,0.05393586005830904,0.11807580174927114,0.09037900874635568,0.119533527696793,0.13994169096209913,0.16909620991253643,0.12536443148688048,0.06705539358600583,0.11661807580174927
All,Multiple,7,8088433108.160001,73.80952380952381,0,1,2,4,0.047311827956989246,0.10752688172043011,0.10967741935483871,0.12473118279569892,0.13763440860215054,0.12473118279569892,0.11182795698924732,0.10752688172043011,0.12903225806451613
Interchange,Multiple,2,2710166968.336,89.44444444444444,0,0,0,2,0.049689440993788817,0.12422360248447205,0.11180124223602485,0.11801242236024845,0.12422360248447205,0.12422360248447205,0.12422360248447205,0.09937888198757763,0.12422360248447205
"M,P & O",Multiple,3,1385544790.583,76.2962962962963,0,0,1,2,0.06796116504854369,0.0970873786407767,0.11165048543689321,0.10194174757281553,0.13106796116504854,0.14563106796116504,0.09223300970873786,0.1262135922330097,0.1262135922330097
Non-Motorized,Multiple,7,8088433108.160001,73.80952380952381,0,1,2,4,0.047311827956989246,0.10752688172043011,0.10967741935483871,0.12473118279569892,0.13763440860215054,0.12473118279569892,0.11182795698924732,0.10752688172043011,0.12903225806451613
Roadway,Multiple,3,1385544790.583,76.2962962962963,0,0,1,2,0.06796116504854369,0.0970873786407767,0.11165048543689321,0.10194174757281553,0.13106796116504854,0.14563106796116504,0.09223300970873786,0.1262135922330097,0.1262135922330097
Transit,Multiple,5,8042714608.160001,83.55555555555556,0,0,1,4,0.04521276595744681,0.13297872340425532,0.10904255319148937,0.11702127659574468,0.13297872340425532,0.1276595744680851,0.12234042553191489,0.09042553191489362,0.12234042553191489
