Project Type,County,# of Projects,Project Cost,Average Project Grade,under 25%,25% to 50%,50% to 75%,over 75%,Freight,Employment,Emissions,Puget Sound Land & Water,Transportation Alternatives,Travel Reliability,Support for Centers,Safety,Community Benefits
All,Region,332,79193415409.275,60.91700133868808,7,77,173,75,0.058894626964069885,0.10202175585100538,0.10158224370948248,0.12163498516646522,0.1333369959345127,0.11987693660037359,0.1041094385232392,0.12317327766179541,0.13536973958905615
Bridge,Region,39,16860459026.75,63.70370370370371,1,8,21,9,0.0907871198568873,0.10778175313059034,0.09838998211091235,0.11359570661896243,0.120304114490161,0.13595706618962433,0.09973166368515206,0.12343470483005367,0.11001788908765653
Ferry,Region,6,222191105.61,54.81481481481482,0,2,4,0,0.006756756756756757,0.0945945945945946,0.13513513513513514,0.1554054054054054,0.17229729729729729,0.13513513513513514,0.11148648648648649,0.04054054054054054,0.14864864864864866
Interchange,Region,60,17903302423.662,63.72222222222222,1,11,32,16,0.09096192967160709,0.1095611740773031,0.0964835803545481,0.11944202266782912,0.10636442894507411,0.14472537053182213,0.0950305143853531,0.12205754141238012,0.11537343795408311
"M,P & O",Region,161,24787438911.002,64.33402346445824,0,34,81,46,0.06350568547521991,0.09772580991203604,0.09440034327397555,0.12218408066938426,0.13741686333404848,0.11628405921476079,0.10072945719802617,0.13258957305299293,0.1351641278695559
Non-Motorized,Region,254,69891592400.013,61.90726159230097,5,55,133,61,0.05525720746184285,0.09715941209723007,0.10528547201808931,0.11920576596947428,0.14436122102882984,0.10712266817410966,0.10556811758055398,0.12591859807801017,0.1401215375918598
Roadway,Region,220,26879543405.311,62.510101010101,4,38,127,51,0.06552476367455765,0.09881231316150925,0.09582289730952573,0.11771834854972933,0.1323422477175406,0.12539387573725458,0.10002423850690798,0.1349276884543912,0.12943362688858367
Transit,Region,142,60247791612.815,69.99217527386541,0,11,73,58,0.049301285634432646,0.11034097261039687,0.10296254891000559,0.11749580771380659,0.13862493012856344,0.11760760201229738,0.11827836780324204,0.1106763555058692,0.13471212968138624
All,King,204,51288389170.077,62.472766884531595,4,43,105,52,0.051787271142109854,0.1004359197907585,0.1019180470793374,0.11464690496948561,0.13295553618134262,0.11926765475152572,0.1084568439407149,0.12885789014821272,0.14167393199651265
Bridge,King,20,13494947981.215,64.72222222222223,0,5,8,7,0.08240343347639485,0.11072961373390558,0.10300429184549356,0.12532188841201716,0.10815450643776824,0.13047210300429185,0.11072961373390558,0.1184549356223176,0.11072961373390558
Ferry,King,6,222191105.61,54.81481481481482,0,2,4,0,0.006756756756756757,0.0945945945945946,0.13513513513513514,0.1554054054054054,0.17229729729729729,0.13513513513513514,0.11148648648648649,0.04054054054054054,0.14864864864864866
Interchange,King,29,9821029873.383,64.40613026819923,0,7,13,9,0.07495538370017847,0.1041046995835812,0.09458655562165377,0.1207614515169542,0.11421772754312909,0.12968471148126115,0.10291493158834028,0.132064247471743,0.12671029149315882
"M,P & O",King,100,18512570748.07,67.05555555555556,0,20,43,37,0.06031483015741508,0.0975973487986744,0.09378624689312344,0.11582435791217896,0.1300745650372825,0.1252692626346313,0.10339685169842584,0.1375310687655344,0.13620546810273404
Non-Motorized,King,172,47486266533.483,62.538759689922486,4,34,91,43,0.049168474331164135,0.09596116103708295,0.10546431153806425,0.11403780601177564,0.14058465034603862,0.11321144509864683,0.10866646007643839,0.12953207313294082,0.14337361842784838
Roadway,King,132,16437652214.631,64.4949494949495,1,22,73,36,0.058209344818585224,0.09501435656486557,0.09618898459932132,0.10976246410858784,0.1331245105716523,0.12868702688593056,0.10780475071782825,0.13886713651788044,0.13234142521534847
Transit,King,87,39765578580.765,72.69476372924649,0,4,40,43,0.05042164441321152,0.10874912157413914,0.1045326774420239,0.10804638088545326,0.13158819395643007,0.1257905832747716,0.1196416022487702,0.11665495432185524,0.13457484188334504
All,Kitsap,23,1555961870.108,51.690821256038646,1,10,11,1,0.038317757009345796,0.09626168224299066,0.10934579439252337,0.14485981308411214,0.14953271028037382,0.14018691588785046,0.09252336448598131,0.11962616822429907,0.10934579439252337
