Sponsor Type,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Cities,53508977,152436172,258324189.273,428137824.13,158906349.823,891249923.468,154689242.15,228133707,109683987.5,1082527209.13,1650923099.562,130933914.826,81701439.115,368063958.4,181571470.09,1982902389.905,17842543.23,129653840.114,0,362480564.604,226260000,0,0,0,0,912259463.461
Counties,0,97555000,217828577.38,61579844.864999995,74567723,264032689.207,225014362,32694270,0,0,147150000,0,1661558050,0,0,414200000,0,0,0,280576000,634487500,0,0,48365286.901,0,1256424030
Local Transit,0,0,182559802.992,29212500,41821025,260851978.895,308545562.1,0,0,0,18450000,147218973.89,133324800,0,0,451007888.385,27886851.1,0,0,0,62219200,0,0,0,0,1046267467.5
Regional Transit,5081879639.442,3048650793.411,361198338.712,1843368918.3969998,0,0,404304210.362,4426337739.403,0,0,5014339964.244,0,0,0,12513781895.45,0,7738831161.873,0,0,4342024674.898,501611244.001,1446012677.753,0,0,0,0
WSDOT,0,1256961783.175,49604047,1080994597.253,1946218589.218,2154087500,292027690,3014366452.89,0,309653836.6,2538336550.824,0,69712925.824,0,17609785.142,557217832.82,0,278057987.94200003,181575925.064,389311948.9,161656851.566,0,0,486090199.115,0,0
Total,5135388616.442,4555603748.5859995,1069514955.357,3443293684.645,2221513687.041,3570222091.57,1384581066.612,7701532169.292999,109683987.5,1392181045.73,9369199614.630001,278152888.71599996,1946297214.939,368063958.4,12712963150.682001,3405328111.11,7784560556.203,407711828.056,181575925.064,5374393188.401999,1586234795.567,1446012677.753,0,534455486.01600003,0,3214950960.961
