Year,Electric,Hybrid,Gasoline,Total,% Electric,% Hybrid,% Gasoline
2017,9626,88755,2526297,2624678,0.003667497498740798,0.033815576615493406,0.9625169258857658
2018,13056,101305,2576209,2690570,0.004852503372891246,0.0376518730231884,0.9574956236039204
2019,19254,108749,2546106,2674109,0.007200155266670132,0.040667377433006656,0.9521324673003232
2020,27629,121199,2662923,2811751,0.009826261287005856,0.04310445697360826,0.9470692817393859
2021,33127,127476,2559293,2719896,0.012179509804786654,0.04686796848114781,0.9409525217140655
2022,44412,146867,2535301,2726580,0.016288537288471273,0.05386491502174886,0.9298465476897799
2023,61974,162455,2481922,2706351,0.022899468694193768,0.0600273209203093,0.9170732103854969
2024,91084,184609,2431202,2706895,0.03364888553120827,0.06819954227999239,0.8981515721887994
